DBA
1 HOTEL BROOKLYN BRIDGE
14 OLD FULTON STREET
98K
99 CENT PIZZA
ABURI SUSHI BAR
"ADVENTURES AMUSEMENTS PARK (ice cream, sweets stand)"
ALIOTTA BAKE SHOP
ALITA
AMARACHI PRIME
AMPLE HILLS
ANDY'S CAFETERIA
ANGELA'S BAKERY
ANGELICA'S CAFE
ANITA'S LUNCHEONETTE
ANTOJITOS BK
APPLEBEE'S
ARABICA COFFEE
ASHOKA GRILL
Akaru Sushi
Aura Coffee
B A A BAKERY
BAD BOYS PIZZA
BAHAR MASALA
BAKERIE
BAKERY 88
BANHMIGOS
BARBALU BK
BARBES
BARLEY TIME
BARNES & NOBLE CAFE
BAY BAGELS
BAYA BAR
BCAKENY
BEDOUIN TENT
BERGEN BEACH CAFE
BETTY BAKERY
BK Lobster
BLANK STREET
BLUE NILE RESTAURANT
BOGOTA LATIN BISTRO
BREWKLYN GRIND COFFEE
BROOKLYN BAGEL
BROOKLYN PERK
BROOKLYN ROASTING COMPANY
BROOKLYN TEA
BROOKLYNS FAMOUS ITALIAN HEROS
BROTHERS PIZZA RESTAURANT
BULL'S EYE SPORTS PUB
BUONASERA RESTAURANT PIZZA
BURGER IM
BURGER KING
BUSHWICK PUBLIC HOUSE
CAFE D'AVIGNON
CAFE GOSSIP
CAFE LA MORENA & DELI
CAFE METRO
CAFE MOCA
CAFE MOGADOR
CAFE RENAISSANCE
CAPRIOTTI'S SANDWICH SHOP
CARIBBEAN SOUTHERN CUISINE
CARMINE'S PIZZA
CARRO CAFE
CARUSO PIZZERIA & RESTAURANT
CARVEL
CASA VIEJA RESTAURANT
CATALDO'S RESTAURANT
CATERINA PIZZA
CEDAR STAR CATERING
CHECKERS STORE #3332
CHEESY KOSHER
CHINA WOK
CHINANTLA RESTAURANT
CHIPOTLE MEXICAN GRILL
CHIPOTLE MEXICAN GRILL #3741
CHLOE'S
CHONGQING CHICKEN POT
CHOPSTIX
CINCO DE MAYO RESTAURANT
CIRCO PASTRY SHOP
CLARK'S RESTAURANT
COFFEE SHOP
COFFEE SPOT
COURT ORDER
COUSIN JOHN'S CAFE AND BAKERY
CRAVE BAR & LOUNGE
CREAMLINE
CROWN FRIED CHICKEN
CUCCIOS BAKERY
CUZIN'S DUZIN
Chock Full O' Nuts
Chun Yang Tea
DELI DOROJ FRIED CHICKEN AND PIZZA
DELMAR PIZZERIA
DOMINO'S
DOMINOS
DON PACO LOPEZ PANDERIA
DUNKIN
DUNKIN'
DYNACO
EAST RIVER
EAST WIND SNACK SHOP
EIGHT TURN CREPE (DEKALB MARKET)
EL CARIBE
EL CHANGARRITO
EL CHARRO BAKERY 1
EL CHARRO BAKERY II
EL CONTINENTAL RESTAURANT
EL MIRADOR RESTAURANT
ELK CAFE
ENJOY EAT
ENOTECA ON COURT
ESTIHANA ASIAN RESTAURANT& SUSHI
EastWind Snake Shop
FALLSBURGH BAGELS
FARMERS RESTAURANT
FAROS RESTAURANT
FERDINANDO'S RESTAURANT
FIFTH AVE DINER
FISHERMAN'S COVE
FLATBUSH  BAGEL
"FLOYD, NY"
FORTUNATO BROS CAFE & BAKERY
FRANKIES 457
FRANKLIN 820
FRANKS PIZZA
FRESH WOK
FU XING HOUSE
FUNFEST
FURMAN'S COFFEE
FUZHOU FLAVOUR RESTAURANT
GABY'S BAKERY
GEORGES RESTAURANT
GERRITTSEN BEACH PROPERTY OWNERS ASSOCIATION
GINO'S PIZZA
GLAZE TERIYAKI
GLEN TERRACE
GOLDEN BLUE BAR & RESTAURANT
GOLDEN KRUST CARIBBEAN BAKERY & GRILL
GOOD JOY
GRILL ON LEE
GUISA'O RESTAURANT
HADROUMOT RESTAURANT
HAPPY GARDEN CHINESE RESTAURANT
HENRY ST. ALE HOUSE
HIBISCUS BREW
HIGH LUA VIETNAMESE KITCHEN
HIGHWAY BAGELS
HOLIDAY INN EXPRESS
HOMESTRETCH BAR
HONEYGROW
HONG KONG CHINESE CUISINE
HOOK & REEL CAJUN SEAFOOD & BAR
HOT POTATO HOUSE
HUNAN DELIGHT
HUNGRY GHOST
I & R DELI
IHOP
IKA SUSHI
INDIAN TABLE
INES' BAKERY
INTERNATIONAL FISH FRY
IPOH KITCHEN ASIAN CUISINE
ISAAC'S COFFEE SHOP
ISLAND EXPRESS
ISLAND VYBES
J'S WONG
J.A. JAM DOWN CARIBBEAN RESTAURANT
JEAN DANET FRENCH PASTRY
JERUSALEM 2
JERUSALEM II PIZZA
JESSI 'S COFFEE SHOP
JEY DINER
JIA XIANG KITCHEN
JINTANA THAI FARM HOUSE
JOENISE
JOHNNY MACK'S BAR
JOHNNY'S PIZZA
KACHE RESTAURANT AND LOUNGE
KANSAS CHICKEN & BURGER
KATZS DELICATESSEN (DEKALB MARKET)
KELLOGG'S DINER
KELLY'S TAVERN
KENNEDY FRIED CHICKEN
KFC
"KFC, TACO BELL"
KFC/TACO BELL
KIM FAI
KINARAS INDIAN FOOD
KING DAVID TACOS
KING SOLOMON CATERING & RESTAURANT
KNAPP PIZZA III
KNAPP ST PIZZA II
KOFTE PIYAZ RESTAURANT
KUNG FU TEA
LA CABANA RESTAURANT
LA CARRETA RESTAURANT
LA ISLA RESTAURANT
